perzon,person (Ger)
din,thing (Ger)
ort,place (Ger)
tsayt,time (Ger)
vol,want (Ger)
zol,should (Ger)
mis,must (Ger)
ken,able (Ger)
brawh,need (Ger)
cpigal,mirror (Ger)
vacbekn,sink (Ger)
bet,bed (Ger)
fensta,window (Ger)
regal,shelf (Ger)
crayptic,desk (Ger)
bodn,floor (Ger)
ih,I (Ger)
du,you (Ger)
ea,he (Ger)
via,we (Ger)
ia,youall (Ger)
zi,they (Ger)
dis,this (Ger)
das,that (Ger)
hia,here (Ger)
da,there (Ger)
vea,who (Ger)
vas,what (Ger)
vo,where (Ger)
van,when (Ger)
vi,how (Ger)
niht,not (Ger)
ala,all (Ger)
fila,many (Ger)
ayniga,some (Ger)
venih,few (Ger)
andara,other (Ger)
ayns,one (Ger)
tsvay,two (Ger)
dray,three (Ger)
fia,four (Ger)
finf,five (Ger)
gros,big (Ger)
klayn,small (Ger)
lan,long (Ger)
brayt,wide (Ger)
dik,thick (Ger)
cvea,heavy (Ger)
kurts,short (Ger)
en,narrow (Ger)
din,thin (Ger)
fraw,woman (Ger)
man,man (Ger)
menc,human (Ger)
kint,child (Ger)
fraw,wife (Ger)
man,husband (Ger)
muta,mother (Ger)
fata,father (Ger)
tia,animal (Ger)
fic,fish (Ger)
fogal,bird (Ger)
hunt,dog (Ger)
laws,louse (Ger)
clana,snake (Ger)
vurm,worm (Ger)
bawm,tree (Ger)
valt,forest (Ger)
ctok,stick (Ger)
fruht,fruit (Ger)
zaman,seed (Ger)
blat,leaf (Ger)
vurtsal,root (Ger)
rinda,bark (Ger)
bluma,flower (Ger)
gras,grass (Ger)
zayl,rope (Ger)
hawt,skin (Ger)
flayc,meat (Ger)
blut,blood (Ger)
knohan,bone (Ger)
fet,fat (Ger)
ay,egg (Ger)
horn,horn (Ger)
cvants,tail (Ger)
feda,feather (Ger)
ha,hair (Ger)
kopf,head (Ger)
oa,ear (Ger)
awga,eye (Ger)
naza,nose (Ger)
munt,mouth (Ger)
tsan,tooth (Ger)
tsuna,tongue (Ger)
finanagel,fingernail (Ger)
fus,foot (Ger)
bayn,leg (Ger)
kni,knee (Ger)
hant,hand (Ger)
fligal,wing (Ger)
bawh,belly (Ger)
ayngavayda,guts (Ger)
hals,neck (Ger)
rikan,back (Ger)
brust,breast (Ger)
herts,heart (Ger)
leba,liver (Ger)
trink,drink (Ger)
es,eat (Ger)
bays,bite (Ger)
zawg,suck (Ger)
cpuk,spit (Ger)
eabreh,vomit (Ger)
blaz,blow (Ger)
atma,breathe (Ger)
lah,laugh (Ger)
ze,see (Ger)
her,hear (Ger)
vis,know (Ger)
denk,think (Ger)
